"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","getAuctionByKeyword()","","Thu Nov 14 07:18:47 GMT 2024","passed","Thu Nov 14 07:18:47 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionByKeyword"
"","12","updateMember()","","Thu Nov 14 07:18:44 GMT 2024","passed","Thu Nov 14 07:18:44 GMT 2024","","com.swp391.koibe.services.user.member.MemberServiceTest","com.swp391.koibe.services.user.member.MemberServiceTest","updateMember"
"","8","createDepositPayment()","","Thu Nov 14 07:18:24 GMT 2024","passed","Thu Nov 14 07:18:24 GMT 2024","","com.swp391.koibe.controllers.PaymentControllerTest","com.swp391.koibe.controllers.PaymentControllerTest","createDepositPayment"
"","7","getAllFeedbacks()","","Thu Nov 14 07:18:24 GMT 2024","passed","Thu Nov 14 07:18:24 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","getAllFeedbacks"
"","4","fixedPrice()","","Thu Nov 14 07:18:38 GMT 2024","passed","Thu Nov 14 07:18:38 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","fixedPrice"
"","5","updateOrderDetail()","","Thu Nov 14 07:18:19 GMT 2024","passed","Thu Nov 14 07:18:19 GMT 2024","","com.swp391.koibe.controllers.OrderDetailControllerTest","com.swp391.koibe.controllers.OrderDetailControllerTest","updateOrderDetail"
"","3","getAuctionsByKeyword()","","Thu Nov 14 07:18:20 GMT 2024","passed","Thu Nov 14 07:18:20 GMT 2024","","com.swp391.koibe.controllers.AuctionControllerTest","com.swp391.koibe.controllers.AuctionControllerTest","getAuctionsByKeyword"
"","3","getKoisByBreederId()","","Thu Nov 14 07:18:20 GMT 2024","passed","Thu Nov 14 07:18:20 GMT 2024","","com.swp391.koibe.controllers.BreederControllerTest","com.swp391.koibe.controllers.BreederControllerTest","getKoisByBreederId"
"","5","createCategory()","","Thu Nov 14 07:18:19 GMT 2024","passed","Thu Nov 14 07:18:19 GMT 2024","","com.swp391.koibe.controllers.CategoryControllerTest","com.swp391.koibe.controllers.CategoryControllerTest","createCategory"
"","7","deleteBreeder()","","Thu Nov 14 07:18:47 GMT 2024","passed","Thu Nov 14 07:18:47 GMT 2024","","com.swp391.koibe.services.user.breeder.BreederServiceTest","com.swp391.koibe.services.user.breeder.BreederServiceTest","deleteBreeder"
"","5","deleteAuctionKoi()","","Thu Nov 14 07:18:24 GMT 2024","passed","Thu Nov 14 07:18:24 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","deleteAuctionKoi"
"","6","updateStaff()","","Thu Nov 14 07:18:19 GMT 2024","passed","Thu Nov 14 07:18:19 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","updateStaff"
