"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","createNewKoi()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","createNewKoi"
"","5","updateKoiStatus()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","updateKoiStatus"
"","8","createCategory()","","Sun Nov 17 02:56:37 GMT 2024","passed","Sun Nov 17 02:56:37 GMT 2024","","com.swp391.koibe.services.category.CategoryServiceTest","com.swp391.koibe.services.category.CategoryServiceTest","createCategory"
"","3","getKoisByBreederId()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.BreederControllerTest","com.swp391.koibe.controllers.BreederControllerTest","getKoisByBreederId"
"","3","getOrder()","","Sun Nov 17 02:56:37 GMT 2024","passed","Sun Nov 17 02:56:37 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","getOrder"
"","4","handleVNPayReturn()","","Sun Nov 17 02:56:20 GMT 2024","passed","Sun Nov 17 02:56:20 GMT 2024","","com.swp391.koibe.controllers.PaymentControllerTest","com.swp391.koibe.controllers.PaymentControllerTest","handleVNPayReturn"
"","6","getAllKois()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getAllKois"
"","33","testCreateRole_ValidationError()","","Sun Nov 17 02:56:19 GMT 2024","passed","Sun Nov 17 02:56:19 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testCreateRole_ValidationError"
"","3","deleteOrder()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.OrderControllerTest","com.swp391.koibe.controllers.OrderControllerTest","deleteOrder"
"","3","update()","","Sun Nov 17 02:56:42 GMT 2024","passed","Sun Nov 17 02:56:42 GMT 2024","","com.swp391.koibe.services.user.staff.StaffServiceTest","com.swp391.koibe.services.user.staff.StaffServiceTest","update"
"","4","updateOrderStatusAndShipDate()","","Sun Nov 17 02:56:37 GMT 2024","passed","Sun Nov 17 02:56:37 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","updateOrderStatusAndShipDate"
"","4","getAuctionKoiByAuctionIdV2()","","Sun Nov 17 02:56:45 GMT 2024","passed","Sun Nov 17 02:56:45 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiByAuctionIdV2"
"","7","getBiddingHistoryByAuctionKoiId()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.BiddingHistoryControllerTest","com.swp391.koibe.controllers.BiddingHistoryControllerTest","getBiddingHistoryByAuctionKoiId"
"","3","setTokenExpired()","","Sun Nov 17 02:56:23 GMT 2024","passed","Sun Nov 17 02:56:23 GMT 2024","","com.swp391.koibe.services.token.TokenServiceTest","com.swp391.koibe.services.token.TokenServiceTest","setTokenExpired"
"","4","createOrderPayment()","","Sun Nov 17 02:56:29 GMT 2024","passed","Sun Nov 17 02:56:29 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","createOrderPayment"
"","5","getGoogleClientId()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.OAuth2ControllerTest","com.swp391.koibe.controllers.OAuth2ControllerTest","getGoogleClientId"
"","4","verifyOtpIsCorrect()","","Sun Nov 17 02:56:37 GMT 2024","passed","Sun Nov 17 02:56:37 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","verifyOtpIsCorrect"
"","2","createDescendingAuction()","","Sun Nov 17 02:56:42 GMT 2024","passed","Sun Nov 17 02:56:42 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","createDescendingAuction"
"","11","testUpdateRole()","","Sun Nov 17 02:56:29 GMT 2024","passed","Sun Nov 17 02:56:29 GMT 2024","","com.swp391.koibe.services.role.RoleServiceTest","com.swp391.koibe.services.role.RoleServiceTest","testUpdateRole"
"","9","updateAuctionParticipant()","","Sun Nov 17 02:56:23 GMT 2024","passed","Sun Nov 17 02:56:23 GMT 2024","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","updateAuctionParticipant"
"","4","getAllKoisByKeyword()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getAllKoisByKeyword"
"","2","getAuctionKoiDetailsById()","","Sun Nov 17 02:56:45 GMT 2024","passed","Sun Nov 17 02:56:45 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiDetailsById"
"","3","createMember()","","Sun Nov 17 02:56:40 GMT 2024","passed","Sun Nov 17 02:56:40 GMT 2024","","com.swp391.koibe.services.user.member.MemberServiceTest","com.swp391.koibe.services.user.member.MemberServiceTest","createMember"
"","5","getKoiImageByKoiId()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.KoiImageControllerTest","com.swp391.koibe.controllers.KoiImageControllerTest","getKoiImageByKoiId"
"","4","ascending()","","Sun Nov 17 02:56:34 GMT 2024","passed","Sun Nov 17 02:56:34 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","ascending"
"","5","hasBid()","","Sun Nov 17 02:56:34 GMT 2024","passed","Sun Nov 17 02:56:34 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","hasBid"
"","2","getAuctionOnStatus()","","Sun Nov 17 02:56:42 GMT 2024","passed","Sun Nov 17 02:56:42 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionOnStatus"
"","85","testUpdateRole_NotFound()","","Sun Nov 17 02:56:18 GMT 2024","passed","Sun Nov 17 02:56:18 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testUpdateRole_NotFound"
"","3","findByUserId()","","Sun Nov 17 02:56:37 GMT 2024","passed","Sun Nov 17 02:56:37 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","findByUserId"
"","3","createOrderForAuctionKoi()","","Sun Nov 17 02:56:37 GMT 2024","passed","Sun Nov 17 02:56:37 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","createOrderForAuctionKoi"
"","3","getKoiImagesByKoiId()","","Sun Nov 17 02:56:23 GMT 2024","passed","Sun Nov 17 02:56:23 GMT 2024","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","com.swp391.koibe.services.koiimage.KoiImageServiceTest","getKoiImagesByKoiId"
"","4","login()","","Sun Nov 17 02:56:37 GMT 2024","passed","Sun Nov 17 02:56:37 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","login"
"","2","getAllKoiImages()","","Sun Nov 17 02:56:23 GMT 2024","passed","Sun Nov 17 02:56:23 GMT 2024","","com.swp391.koibe.services.koiimage.KoiImageServiceTest","com.swp391.koibe.services.koiimage.KoiImageServiceTest","getAllKoiImages"
"","4","getUserById()","","Sun Nov 17 02:56:37 GMT 2024","passed","Sun Nov 17 02:56:37 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","getUserById"
"","5","getAllUsers()","","Sun Nov 17 02:56:37 GMT 2024","passed","Sun Nov 17 02:56:37 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","getAllUsers"
"","25","testDeleteRole_Success()","","Sun Nov 17 02:56:19 GMT 2024","passed","Sun Nov 17 02:56:19 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testDeleteRole_Success"
"","4","createOtp()","","Sun Nov 17 02:56:45 GMT 2024","passed","Sun Nov 17 02:56:45 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","createOtp"
"","3","createAuction()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.AuctionControllerTest","com.swp391.koibe.controllers.AuctionControllerTest","createAuction"
"","3","getAuctionKoisByAuctionId()","","Sun Nov 17 02:56:20 GMT 2024","passed","Sun Nov 17 02:56:20 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","getAuctionKoisByAuctionId"
"","3","getAuctionKoiResponeById()","","Sun Nov 17 02:56:45 GMT 2024","passed","Sun Nov 17 02:56:45 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiResponeById"
"","4","deleteAuctionParticipant()","","Sun Nov 17 02:56:23 GMT 2024","passed","Sun Nov 17 02:56:23 GMT 2024","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","deleteAuctionParticipant"
"","3","getFeedbackByOrderId()","","Sun Nov 17 02:56:20 GMT 2024","passed","Sun Nov 17 02:56:20 GMT 2024","","com.swp391.koibe.controllers.FeedbackControllerTest","com.swp391.koibe.controllers.FeedbackControllerTest","getFeedbackByOrderId"
"","12","verifyOtpToVerifyUser()","","Sun Nov 17 02:56:37 GMT 2024","passed","Sun Nov 17 02:56:37 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","verifyOtpToVerifyUser"
"","5","getAllCategories()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.CategoryControllerTest","com.swp391.koibe.controllers.CategoryControllerTest","getAllCategories"
"","5","testCreateRole()","","Sun Nov 17 02:56:29 GMT 2024","passed","Sun Nov 17 02:56:29 GMT 2024","","com.swp391.koibe.services.role.RoleServiceTest","com.swp391.koibe.services.role.RoleServiceTest","testCreateRole"
"","6","processBid()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.BiddingHistoryControllerTest","com.swp391.koibe.controllers.BiddingHistoryControllerTest","processBid"
"","3","getAuctionKoiByAuctionIdAndKoiId()","","Sun Nov 17 02:56:45 GMT 2024","passed","Sun Nov 17 02:56:45 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiByAuctionIdAndKoiId"
"","3","delete()","","Sun Nov 17 02:56:42 GMT 2024","passed","Sun Nov 17 02:56:42 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","delete"
"","4","getAuctionHandledByStaff()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.AuctionControllerTest","com.swp391.koibe.controllers.AuctionControllerTest","getAuctionHandledByStaff"
"","6","deleteStaff()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","deleteStaff"
"","4","getBidHistoryById()","","Sun Nov 17 02:56:34 GMT 2024","passed","Sun Nov 17 02:56:34 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getBidHistoryById"
"","5","getKoiListByStatus()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getKoiListByStatus"
"","3","createUser()","","Sun Nov 17 02:56:20 GMT 2024","passed","Sun Nov 17 02:56:20 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","createUser"
"","4","getOrderDetail()","","Sun Nov 17 02:56:29 GMT 2024","passed","Sun Nov 17 02:56:29 GMT 2024","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","getOrderDetail"
"","3","testGetAllAuctions()","","Sun Nov 17 02:56:42 GMT 2024","passed","Sun Nov 17 02:56:42 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","testGetAllAuctions"
"","3","getAuctionByStatus()","","Sun Nov 17 02:56:42 GMT 2024","passed","Sun Nov 17 02:56:42 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionByStatus"
"","3","createOrderDetail()","","Sun Nov 17 02:56:29 GMT 2024","passed","Sun Nov 17 02:56:29 GMT 2024","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","createOrderDetail"
"","3","confirmDelivery()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.OrderControllerTest","com.swp391.koibe.controllers.OrderControllerTest","confirmDelivery"
"","615","deleteCategory()","","Sun Nov 17 02:56:14 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.CategoryControllerTest","com.swp391.koibe.controllers.CategoryControllerTest","deleteCategory"
"","20","getAllBreeders()","","Sun Nov 17 02:56:42 GMT 2024","passed","Sun Nov 17 02:56:42 GMT 2024","","com.swp391.koibe.services.user.breeder.BreederServiceTest","com.swp391.koibe.services.user.breeder.BreederServiceTest","getAllBreeders"
"","5","deleteToken()","","Sun Nov 17 02:56:23 GMT 2024","passed","Sun Nov 17 02:56:23 GMT 2024","","com.swp391.koibe.services.token.TokenServiceTest","com.swp391.koibe.services.token.TokenServiceTest","deleteToken"
"","4","updateFeedback()","","Sun Nov 17 02:56:33 GMT 2024","passed","Sun Nov 17 02:56:33 GMT 2024","","com.swp391.koibe.services.feedback.FeedbackServiceTest","com.swp391.koibe.services.feedback.FeedbackServiceTest","updateFeedback"
"","4","createAuctionParticipant()","","Sun Nov 17 02:56:23 GMT 2024","passed","Sun Nov 17 02:56:23 GMT 2024","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","createAuctionParticipant"
"","3","getOrderDetail()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.OrderDetailControllerTest","com.swp391.koibe.controllers.OrderDetailControllerTest","getOrderDetail"
"","7","getAllStaffs()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","getAllStaffs"
"","2","deleteAuctionKoi()","","Sun Nov 17 02:56:20 GMT 2024","passed","Sun Nov 17 02:56:20 GMT 2024","","com.swp391.koibe.controllers.AuctionKoiControllerTest","com.swp391.koibe.controllers.AuctionKoiControllerTest","deleteAuctionKoi"
"","3","getBreeder()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.BreederControllerTest","com.swp391.koibe.controllers.BreederControllerTest","getBreeder"
"","3","updateBidHistory()","","Sun Nov 17 02:56:34 GMT 2024","passed","Sun Nov 17 02:56:34 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","updateBidHistory"
"","3","refreshToken()","","Sun Nov 17 02:56:23 GMT 2024","passed","Sun Nov 17 02:56:23 GMT 2024","","com.swp391.koibe.services.token.TokenServiceTest","com.swp391.koibe.services.token.TokenServiceTest","refreshToken"
"","3","logout()","","Sun Nov 17 02:56:20 GMT 2024","passed","Sun Nov 17 02:56:20 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","logout"
"","3","sendOtp()","","Sun Nov 17 02:56:20 GMT 2024","passed","Sun Nov 17 02:56:20 GMT 2024","","com.swp391.koibe.controllers.MailControllerTest","com.swp391.koibe.controllers.MailControllerTest","sendOtp"
"","5","updateDescendAuctionKoiPrice()","","Sun Nov 17 02:56:45 GMT 2024","passed","Sun Nov 17 02:56:45 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","updateDescendAuctionKoiPrice"
"","2","getAllBreeders()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.BreederControllerTest","com.swp391.koibe.controllers.BreederControllerTest","getAllBreeders"
"","4","createOrder()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.OrderControllerTest","com.swp391.koibe.controllers.OrderControllerTest","createOrder"
"","9","createDrawOutRequest()","","Sun Nov 17 02:56:29 GMT 2024","passed","Sun Nov 17 02:56:29 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","createDrawOutRequest"
"","3","getAuctionIsSold()","","Sun Nov 17 02:56:45 GMT 2024","passed","Sun Nov 17 02:56:45 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionIsSold"
"","4","getAllFeedbacks()","","Sun Nov 17 02:56:33 GMT 2024","passed","Sun Nov 17 02:56:33 GMT 2024","","com.swp391.koibe.services.feedback.FeedbackServiceTest","com.swp391.koibe.services.feedback.FeedbackServiceTest","getAllFeedbacks"
"","2","getAllUsersJoinAuction()","","Sun Nov 17 02:56:15 GMT 2024","passed","Sun Nov 17 02:56:15 GMT 2024","","com.swp391.koibe.controllers.AuctionParticipantControllerTest","com.swp391.koibe.controllers.AuctionParticipantControllerTest","getAllUsersJoinAuction"
"","4","getAllAuctionKois()","","Sun Nov 17 02:56:45 GMT 2024","passed","Sun Nov 17 02:56:45 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAllAuctionKois"
"","2","convertToUserDTO()","","Sun Nov 17 02:56:45 GMT 2024","passed","Sun Nov 17 02:56:45 GMT 2024","","com.swp391.koibe.utils.DTOConverterTest","com.swp391.koibe.utils.DTOConverterTest","convertToUserDTO"
"","4","deleteById()","","Sun Nov 17 02:56:29 GMT 2024","passed","Sun Nov 17 02:56:29 GMT 2024","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","deleteById"
