"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","getOtpByEmailOtp()","","Sun Nov 17 00:45:39 GMT 2024","passed","Sun Nov 17 00:45:39 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","getOtpByEmailOtp"
"","3","getAllAuctions()","","Sun Nov 17 00:45:37 GMT 2024","passed","Sun Nov 17 00:45:37 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","getAllAuctions"
"","7","testGetRoleById()","","Sun Nov 17 00:45:23 GMT 2024","passed","Sun Nov 17 00:45:23 GMT 2024","","com.swp391.koibe.services.role.RoleServiceTest","com.swp391.koibe.services.role.RoleServiceTest","testGetRoleById"
"","3","updateOrderByUser()","","Sun Nov 17 00:45:31 GMT 2024","passed","Sun Nov 17 00:45:31 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","updateOrderByUser"
"","3","sendForgotPassword()","","Sun Nov 17 00:45:13 GMT 2024","passed","Sun Nov 17 00:45:13 GMT 2024","","com.swp391.koibe.controllers.MailControllerTest","com.swp391.koibe.controllers.MailControllerTest","sendForgotPassword"
"","5","updatePaymentStatus()","","Sun Nov 17 00:45:23 GMT 2024","passed","Sun Nov 17 00:45:23 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","updatePaymentStatus"
"","3","convertToAuctionKoiDTO()","","Sun Nov 17 00:45:39 GMT 2024","passed","Sun Nov 17 00:45:39 GMT 2024","","com.swp391.koibe.utils.DTOConverterTest","com.swp391.koibe.utils.DTOConverterTest","convertToAuctionKoiDTO"
"","13","testDeleteRole()","","Sun Nov 17 00:45:23 GMT 2024","passed","Sun Nov 17 00:45:23 GMT 2024","","com.swp391.koibe.services.role.RoleServiceTest","com.swp391.koibe.services.role.RoleServiceTest","testDeleteRole"
"","3","setOtpExpired()","","Sun Nov 17 00:45:39 GMT 2024","passed","Sun Nov 17 00:45:39 GMT 2024","","com.swp391.koibe.services.otp.OtpServiceTest","com.swp391.koibe.services.otp.OtpServiceTest","setOtpExpired"
"","4","bannedUser()","","Sun Nov 17 00:45:31 GMT 2024","passed","Sun Nov 17 00:45:31 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","bannedUser"
