"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","deleteKoi()","","Thu Nov 14 05:22:37 GMT 2024","passed","Thu Nov 14 05:22:37 GMT 2024","","com.swp391.koibe.services.koi.KoiServiceTest","com.swp391.koibe.services.koi.KoiServiceTest","deleteKoi"
"","6","getAllUsersJoinAuction()","","Thu Nov 14 05:22:18 GMT 2024","passed","Thu Nov 14 05:22:18 GMT 2024","","com.swp391.koibe.controllers.AuctionParticipantControllerTest","com.swp391.koibe.controllers.AuctionParticipantControllerTest","getAllUsersJoinAuction"
"","5","getAllKoisByKeyword()","","Thu Nov 14 05:22:17 GMT 2024","passed","Thu Nov 14 05:22:17 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getAllKoisByKeyword"
"","8","deleteAuctionParticipant()","","Thu Nov 14 05:22:25 GMT 2024","passed","Thu Nov 14 05:22:25 GMT 2024","","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","com.swp391.koibe.services.auctionparticipant.AuctionParticipantServiceTest","deleteAuctionParticipant"
"","55","testCreateRole_Success()","","Thu Nov 14 05:22:21 GMT 2024","passed","Thu Nov 14 05:22:22 GMT 2024","","com.swp391.koibe.controllers.RoleControllerTest","com.swp391.koibe.controllers.RoleControllerTest","testCreateRole_Success"
"","5","createPaymentAndUpdateOrder()","","Thu Nov 14 05:22:32 GMT 2024","passed","Thu Nov 14 05:22:32 GMT 2024","","com.swp391.koibe.services.payment.PaymentServiceTest","com.swp391.koibe.services.payment.PaymentServiceTest","createPaymentAndUpdateOrder"
"","7","createCategory()","","Thu Nov 14 05:22:40 GMT 2024","passed","Thu Nov 14 05:22:40 GMT 2024","","com.swp391.koibe.services.category.CategoryServiceTest","com.swp391.koibe.services.category.CategoryServiceTest","createCategory"
"","665","deleteCategory()","","Thu Nov 14 05:22:16 GMT 2024","passed","Thu Nov 14 05:22:17 GMT 2024","","com.swp391.koibe.controllers.CategoryControllerTest","com.swp391.koibe.controllers.CategoryControllerTest","deleteCategory"
"","5","existsById()","","Thu Nov 14 05:22:37 GMT 2024","passed","Thu Nov 14 05:22:37 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","existsById"
"","4","deleteBreeder()","","Thu Nov 14 05:22:46 GMT 2024","passed","Thu Nov 14 05:22:46 GMT 2024","","com.swp391.koibe.services.user.breeder.BreederServiceTest","com.swp391.koibe.services.user.breeder.BreederServiceTest","deleteBreeder"
"","5","getKoiListByStatus()","","Thu Nov 14 05:22:17 GMT 2024","passed","Thu Nov 14 05:22:17 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","getKoiListByStatus"
"","6","getUserHighestBid()","","Thu Nov 14 05:22:17 GMT 2024","passed","Thu Nov 14 05:22:17 GMT 2024","","com.swp391.koibe.controllers.BiddingHistoryControllerTest","com.swp391.koibe.controllers.BiddingHistoryControllerTest","getUserHighestBid"
"","2","bannedUser()","","Thu Nov 14 05:22:40 GMT 2024","passed","Thu Nov 14 05:22:40 GMT 2024","","com.swp391.koibe.services.user.UserServiceTest","com.swp391.koibe.services.user.UserServiceTest","bannedUser"
"","6","getAllStaffs()","","Thu Nov 14 05:22:17 GMT 2024","passed","Thu Nov 14 05:22:17 GMT 2024","","com.swp391.koibe.controllers.StaffControllerTest","com.swp391.koibe.controllers.StaffControllerTest","getAllStaffs"
"","3","getUserById()","","Thu Nov 14 05:22:22 GMT 2024","passed","Thu Nov 14 05:22:22 GMT 2024","","com.swp391.koibe.controllers.UserControllerTest","com.swp391.koibe.controllers.UserControllerTest","getUserById"
"","3","getAuctionKoiByAuctionIdV2()","","Thu Nov 14 05:22:49 GMT 2024","passed","Thu Nov 14 05:22:49 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiByAuctionIdV2"
"","5","createCategory()","","Thu Nov 14 05:22:17 GMT 2024","passed","Thu Nov 14 05:22:17 GMT 2024","","com.swp391.koibe.controllers.CategoryControllerTest","com.swp391.koibe.controllers.CategoryControllerTest","createCategory"
"","2","getAuctionKoiByAuctionId()","","Thu Nov 14 05:22:49 GMT 2024","passed","Thu Nov 14 05:22:49 GMT 2024","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiByAuctionId"
"","3","testCreateOrder()","","Thu Nov 14 05:22:40 GMT 2024","passed","Thu Nov 14 05:22:40 GMT 2024","","com.swp391.koibe.services.order.OrderServiceTest","com.swp391.koibe.services.order.OrderServiceTest","testCreateOrder"
"","15","updateKoi()","","Thu Nov 14 05:22:37 GMT 2024","passed","Thu Nov 14 05:22:37 GMT 2024","","com.swp391.koibe.services.koi.KoiServiceTest","com.swp391.koibe.services.koi.KoiServiceTest","updateKoi"
"","3","createNewKoi()","","Thu Nov 14 05:22:17 GMT 2024","passed","Thu Nov 14 05:22:17 GMT 2024","","com.swp391.koibe.controllers.KoiControllerTest","com.swp391.koibe.controllers.KoiControllerTest","createNewKoi"
"","4","getBidderHighestBid()","","Thu Nov 14 05:22:37 GMT 2024","passed","Thu Nov 14 05:22:37 GMT 2024","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getBidderHighestBid"
"","4","updateAuctionStatus()","","Thu Nov 14 05:22:46 GMT 2024","passed","Thu Nov 14 05:22:46 GMT 2024","","com.swp391.koibe.services.auction.AuctionServiceTest","com.swp391.koibe.services.auction.AuctionServiceTest","updateAuctionStatus"
"","10","update()","","Thu Nov 14 05:22:40 GMT 2024","passed","Thu Nov 14 05:22:40 GMT 2024","","com.swp391.koibe.services.category.CategoryServiceTest","com.swp391.koibe.services.category.CategoryServiceTest","update"
